ID,N,TaTb,VO2kg,logVO2kg,Temprounded,Run,numberextracted,Capturedate,testdate,Dateallocatedtreat,Baseline0switchm1m2,Baseline0switchm1m2,Run1or2inset0or1or2,treat1h2c,Capturesite,speciesme1g2mi3pr4,pop,time,factT,airT,groundT,subT,initialmass,Dateweigh2,mass2,SVL,length,TailReg,InitialID,Toeclip,Alttoeclip,Dateweigh3,mass3,,,
A1,2,28.84047658,2.798857494,0.446980787,-29,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,1,28.06146353,2.747241718,0.438896873,-28,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,3,27.02969837,2.466502227,0.392081512,-27,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,25.99691666,2.344204712,0.369995535,-26,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,25.05370639,2.160084681,0.334470777,-25,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,24.07340693,1.579217859,0.198442047,-24,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,22.86393035,1.394232926,0.144335335,-23,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,21.87937826,1.116024594,0.047673765,-22,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,21.02733335,1.246421364,0.095664884,-21,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,20.17179038,1.491874354,0.173732248,-20,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,19.0311211,1.6451663,0.216209805,-19,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,17.95308528,1.703942801,0.231455012,-18,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,17.07180923,1.801863385,0.25572186,-17,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,3,16.00230381,1.535805537,0.186336229,-16,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,1,14.79890626,1.609148201,0.206596044,-15,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,14.04319272,1.422170528,0.152951674,-14,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,3,12.90191016,1.350095947,0.130364633,-13,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,11.85391081,1.068246909,0.028671645,-12,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,1,11.10716145,1.072648518,0.030457437,-11,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,3,9.971837675,1.085747611,0.035728882,-10,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,8.797555336,1.203631034,0.080493377,-9,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,1,8.197079443,1.323116499,0.121598085,-8,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,8.192526701,1.37829061,0.139340797,8,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,3,9.03432465,1.274570368,0.105363818,9,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,3,10.10590799,1.337442088,0.126274986,10,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,11.00741015,1.648473114,0.217081868,11,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,3,11.96500043,1.577241674,0.197898244,12,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,12.93242123,1.936185557,0.286946976,13,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,3,13.94440234,2.407390098,0.38154647,14,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,14.97663477,2.816014958,0.449634957,15,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,3,16.04454775,3.495119701,0.543462054,16,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,17.13425325,4.148339992,0.617874343,17,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,18.02778126,4.123057774,0.61521942,18,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,18.94869922,4.310747354,0.63455257,19,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,19.88636198,4.36725196,0.640208248,20,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,20.84657943,4.702424484,0.67232183,21,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,21.83050456,5.53199624,0.742881876,22,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,22.86081901,6.38766365,0.80534204,23,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,23.91210875,7.091729869,0.850752185,24,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,24.97868295,7.69390945,0.886147071,25,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,26.07631771,7.614443985,0.881638196,26,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,27.1925267,7.741052126,0.888799992,27,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,1,28.04879039,7.841348938,0.89439078,28,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,2,28.87881252,7.968126696,0.901356231,29,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A1,1,29.53130338,7.857269226,0.895271634,30,59,43,3/11/2011,2/04/2012,2/12/2011,1,1,NA,2,Orford,1,1,1334,11.6,3.3,24.1,NA,2.92,6/12/2011,3.88,55,106,2,7,1223,1233,6/02/2012,3.87,,,
A100,20,29.76,3.04,0.482905039,-30,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
A100,4,29.19,2.75,0.439163598,-29,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
A100,2,27.82,2.40,0.38033919,-28,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
A100,2,26.78,2.10,0.323060878,-27,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
A100,1,25.96,2.07,0.316161086,-26,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
A100,3,25.08,1.93,0.286032238,-25,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
A100,2,23.99,1.88,0.27484567,-24,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
A100,2,23.05,1.81,0.25662085,-23,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
A100,2,21.89,1.50,0.17548532,-22,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
A100,2,20.82,1.30,0.114814188,-21,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
A100,2,19.82,1.18,0.071574748,-20,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
A100,2,18.97,1.06,0.025817258,-19,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
A100,2,18.12,1.06,0.026570588,-18,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
A100,2,17.21,1.15,0.059882821,-17,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
A100,2,16.16,1.11,0.045712087,-16,2,142,27/01/2012,15/02/2012,22/03/2012,0,0,NA,2,Orford,1,1,1005,30.5,72.3,71,28.5,3.16,NA,NA,57,123,17,1,2411,NA,NA,NA,,,
