SITE$,FSVLAFTER,TOTAFTER,MASSaft,RCM,CSIZE
OR,62,132,4.3324,0.227541317,2
OR,62,146,4.5859,0.24546981,2
OR,62,112,4.1504,0.230026022,2
OR,62,134,4.7912,0.216021039,2
OR,62,119,4.7085,0.218137411,2
OR,62,140,4.75,0.230273684,2
OR,62,127,5.4506,0.201904377,2
OR,62,115,4.2366,0.24094793,2
OR,62,138,5.4205,0.204630569,2
OR,62,118,4.1771,0.253142132,2
OR,62,131,5.6373,0.18906214,2
OR,62,122,4.9275,0.247975647,2
OR,62,116,4.1958,0.271962439,2
OR,62,130,4.7734,0.231365484,2
OR,62,124,5.065,0.226594274,2
OR,62,121,5.0499,0.231291709,2
OR,62,127,4.9664,0.227528995,2
OR,62,135,5.6289,0.182557871,2
OR,62,113,5.2941,0.204246236,2
OR,62,148,4.909,0.198757384,2
OR,62,131,4.1308,0.254381718,2
OR,62,143,5.57,0.181113106,2
OR,62,142,4.93,0.238843813,2
OR,62,126,4.7486,0.24546182,2
OR,62,121,4.8967,0.249555823,2
OR,62,134,4.3241,0.264448093,2
OR,62,98,4.4008,0.277290493,2
OR,62,121,5.4329,0.181597305,2
OR,62,110,,,2
OR,62,136,4.2633,0.249759576,2
OR,62,125,5.8089,0.200657612,2
OR,62,138,5.0389,0.161225664,2
OR,62,119,4.4986,0.252723069,2
OR,62,136,5.262,0.214633219,2
OR,62,112,4.9898,0.244759309,2
OR,62,139,4.593,0.289875898,3
OR,62,135,4.963,0.279629256,3
OR,62,134,4.2302,0.245496667,3
OR,62,127,4.4162,0.358045378,3
OR,62,144,4.9592,0.306984998,3
OR,62,144,3.9987,0.423912772,3
OR,62,133,4.2544,,3
OR,62,130,4.8899,0.287101986,3
OR,62,147,4.983,0.341561308,3
OR,62,117,4.1797,0.324185946,3
OR,62,103,4.1256,0.370224937,3
OR,62,126,5.8237,0.220495561,3
OR,62,116,4.2481,0.356653563,3
OR,62,147,4.466,0.328996865,3
OR,62,143,4.7206,0.329873321,3
OR,62,116,5.3815,0.243129239,3
OR,62,122,5.1331,0.301318891,3
OR,62,142,4.54,0.325110132,3
OR,62,127,4.6347,0.362267245,3
OR,62,142,4.6138,0.321643764,3
OR,62,152,6.219,0.260218685,3
OR,62,122,4.737,0.307705299,3
OR,62,138,5.436,0.247737307,3
OR,62,124,,,
OR,62,118,,,
OR,62,141,4.1253,,
OR,62,95,4.5756,,
OR,62,144,7.2916,,
OR,62,124,,,
OR,62,144,,,
OR,62,141,,,
OR,62.5,147,4.3136,0.200064911,2
CP,63,138,6.1506,,2
CP,63,142,,,
OR,63,87,5.3527,0.089543595,1
OR,63,116,5.0085,0.079405011,1
OR,63,144,4.6632,0.117944759,1
OR,63,104,4.244,0.094250707,1
OR,63,146,4.6004,0.108686201,1
OR,63,88,3.4271,0.168626536,1
OR,63,85,5,0.10562,1
OR,63,114,5.0636,0.101350818,1
OR,63,135,,,1
OR,63,147,5.5827,0.087305426,1
OR,63,112,4.0916,0.132833122,1
OR,63,120,4.2132,0.135929934,1
OR,63,120,4.2894,0.136475964,1
OR,63,134,4.5015,0.128534933,1
OR,63,148,4.2621,0.145562047,1
OR,63,129,4.8628,,1
OR,63,106,5.4786,0.103621363,1
OR,63,145,5.4662,0.112107131,1
OR,63,141,5.5226,0.108897983,1
OR,63,128,6.0291,0.106914797,1
OR,63,147,5.7244,0.069876319,1
OR,63,127,5.8669,0.102933406,1
OR,63,121,4.5022,0.251521478,2
OR,63,137,4.7021,0.217158291,2
OR,63,148,4.194,0.251287554,2
OR,63,139,4.6136,0.221453962,2
OR,63,137,5.0356,0.216577965,2
OR,63,144,4.9761,0.183698077,2
OR,63,112,4.1238,0.236602163,2
OR,63,128,4.9478,0.175572982,2
OR,63,,5.7009,0.191934607,2
OR,63,133,4.3626,0.212258745,2
OR,63,146,4.2088,0.297638282,2
OR,63,145,4.463,0.273515572,2
OR,63,116,4.6168,0.259833651,2
OR,63,133,4.5239,0.229669091,2
OR,63,141,3.9599,0.240990934,2
OR,63,111,4.0839,0.292343103,2
OR,63,149,3.901,0.256036914,2
OR,63,142,3.9434,0.238449054,2
OR,63,130,3.9964,0.268141327,2
OR,63,,4.162,0.263238827,2
OR,63,147,4.4265,0.247780413,2
OR,63,105,3.7589,0.265795845,2
OR,63,150,5.035,0.207706058,2
OR,63,130,4.5175,0.27260653,2
OR,63,134,4.268,0.305084349,2
OR,63,110,4.1371,0.25551715,2
OR,63,136,4.5605,0.296941125,2
OR,63,128,4.9247,0.211444352,2
OR,63,142,4.2736,0.255732872,2
OR,63,120,3.5504,0.293797882,2
OR,63,113,4.3174,0.277759763,2
OR,63,138,5.0798,0.258514115,2
OR,63,145,3.9576,0.27852739,2
OR,63,110,3.7578,0.259087764,2
OR,63,125,4.6486,0.260314934,2
OR,63,117,5.3426,0.225863812,2
OR,63,115,4.0739,0.265347701,2
OR,63,118,4.6585,0.231598154,2
OR,63,132,4.529,0.261492603,2
OR,63,133,4.2215,0.24893995,2
OR,63,114,4.722,0.254341381,2
OR,63,144,4.0254,0.268172107,2
OR,63,136,4.943,0.215456201,2
OR,63,142,4.7274,0.231099547,2
OR,63,135,4.4965,0.242366285,2
OR,63,126,4.484,0.238983051,2
OR,63,123,5.0165,0.218100269,2
OR,63,104,4.5845,0.244279638,2
OR,63,139,4.151,0.266682727,2
OR,63,137,4.4271,0.258927966,2
OR,63,119,4.5586,0.220813408,2
OR,63,140,4.9025,0.192310046,2
OR,63,138,5.0827,0.189781022,2
OR,63,113,5.1317,0.233723717,2
OR,63,125,4.6037,0.213632513,2
OR,63,127,4.5133,0.252608956,2
OR,63,140,4.8732,0.235081671,2
OR,63,141,4.7227,0.21403011,2
OR,63,138,4.1034,0.276404932,2
OR,63,120,5.1664,0.198203778,2
OR,63,117,5.599,0.213252366,2
OR,63,132,4.7071,,2
OR,63,140,4.032,0.244122024,2
OR,63,137,3.3671,0.316503816,2
OR,63,112,4.7852,0.224776394,2
OR,63,116,3.6758,0.297078187,2
OR,63,125,4.5364,0.297372366,2
OR,63,118,4.8397,0.23910573,2
OR,63,130,4.9609,0.254147433,2
OR,63,112,4.4105,0.239632695,2
OR,63,137,5.4003,0.242912431,2
OR,63,122,4.9313,0.227201752,2
OR,63,123,5.259,0.185966914,2
OR,63,133,5.0637,0.251989652,2
OR,63,126,4.7839,0.22322791,2
OR,63,116,4.7198,0.213356498,2
OR,63,108,5.3308,0.187045096,2
OR,63,134,5.3489,0.191347754,2
OR,63,136,5.8301,0.198778752,2
OR,63,141,5.17,0.20729207,2
OR,63,147,4.88,0.240286885,2
OR,63,140,5.52,0.20817029,2
OR,63,137,4.85,0.285402062,2
OR,63,118,4.3042,0.305143813,2
OR,63,144,5.6562,0.169141827,2
OR,63,149,4.4442,0.269137303,2
OR,63,141,5.346,0.195922185,2
OR,63,126,5.0898,0.179496247,2
OR,63,69,4.7688,0.236935917,2
OR,63,120,5.3194,0.18304696,2
OR,63,130,4.1135,0.23799684,2
OR,63,144,5.0581,0.200905478,2
OR,63,112,5.0872,0.221732977,2
OR,63,131,5.0179,0.376452301,3
OR,63,142,4.315,0.353395133,3
OR,63,141,5.0677,0.302326499,3
OR,63,130,4.9603,0.284539242,3
OR,63,140,,,3
OR,63,137,4.6212,0.331407427,3
OR,63,153,5.1127,0.299235238,3
OR,63,90,3.414,0.460632689,3
OR,63,128,4.6632,0.356257506,3
OR,63,144,4.2405,0.333451244,3
OR,63,118,5.4952,0.267706362,3
OR,63,119,4.8968,,3
OR,63,146,5.1594,0.295266891,3
OR,63,125,4.8301,0.307695493,3
OR,63,135,5.5455,0.276746912,3
OR,63,126,6.2818,0.224824095,3
OR,63,146,6.23,0.262439807,3
OR,63,130,4.6221,0.286471517,3
OR,63,117,4.7221,0.302831367,3
OR,63,97,,,
OR,63,129,,,
OR,63,106,5.2072,,
OR,63,143,,,
OR,63,148,,,
CP,64,138,5.4428,0.105736018,1
CP,64,121,5.725,0.08958952,1
CP,64,110,4.8248,0.223408224,2
CP,64,125,,,
OR,64,136,4.9626,0.117035425,1
OR,64,153,4.8705,0.113910276,1
OR,64,135,4.9521,0.112941984,1
OR,64,116,4.2076,0.132141839,1
OR,64,135,4.117,0.150910857,1
OR,64,145,4.4768,0.100026805,1
OR,64,136,4.981,,1
OR,64,146,4.9266,0.144399789,1
OR,64,139,5.2688,0.110613422,1
OR,64,93,5.347,0.124798953,1
OR,64,154,4.5664,0.107721619,1
OR,64,135,5.8513,0.098525114,1
OR,64,135,5.203,0.115798578,1
OR,64,132,5.6675,0.111160124,1
OR,64,138,5.43,,1
OR,64,143,6.4045,0.098946054,1
OR,64,121,5.2754,0.097698753,1
OR,64,150,5.0695,0.219725811,2
OR,64,146,4.8664,0.220224396,2
OR,64,148,5.0713,0.208270069,2
OR,64,141,4.4102,0.253231146,2
OR,64,115,4.7753,0.236320231,2
OR,64,101,4.102,0.243271575,2
OR,64,123,4.7679,0.219908136,2
OR,64,138,5.2488,0.238721232,2
OR,64,148,4.3469,0.233637765,2
OR,64,132,4.5461,0.275884824,2
OR,64,118,4.2958,0.262931235,2
OR,64,124,5.5302,0.1749123,2
OR,64,147,4.5142,0.235767135,2
OR,64,133,4.4838,0.196373612,2
OR,64,91,5.1208,0.242657397,2
OR,64,143,5.1999,0.206850132,2
OR,64,129,4.5671,0.231525476,2
OR,64,110,5.0479,0.214960677,2
OR,64,147,4.317,0.26340051,2
OR,64,102,4.8734,0.240571264,2
OR,64,137,3.9478,0.30637317,2
OR,64,124,4.3314,0.250265503,2
OR,64,138,5.5115,0.215150141,2
OR,64,129,4.58,0.225676856,2
OR,64,131,4.4564,0.234045418,2
OR,64,118,4.9422,0.231657966,2
OR,64,106,5.0818,0.204100909,2
OR,64,140,5.0448,0.215826197,2
OR,64,147,5.4699,0.19534178,2
OR,64,114,4.7958,0.235414321,2
OR,64,120,4.173,0.286652289,2
OR,64,135,4.7135,0.271220961,2
OR,64,145,4.5854,0.248833253,2
OR,64,140,5.4192,0.239075878,2
OR,64,137,4.7145,0.257439813,2
OR,64,111,4.6418,0.234951958,2
OR,64,110,5.0102,0.204642529,2
OR,64,138,4.967,0.218924904,2
OR,64,137,3.9807,0.281960459,2
OR,64,97,4.0029,0.272727273,2
OR,64,124,5.1452,0.238416388,2
OR,64,120,4.3743,0.255812359,2
OR,64,114,4.519,0.262912149,2
